Name,1911,1912,1913,1914,1915,1916,First Year,Last Year,Tenure,Consecutive,Positions
"ASPGRÉN, NESTOR",,,,,,,1911,1916,6,True,
"CORNELLIUS, JOHAN",,,,,,,1911,1916,6,True,
"DAHLERUS, GOTTH.",,,,,,,1911,1916,6,True,
"FLENSBURG, OSCAR",,,,,,,1911,1916,6,True,
"GRUBBSTRÖM, KARL",,,,,,,1911,1916,6,True,
"LUNDSTRÖM, KARL",,,,,,,1911,1916,6,True,
"MARTIN, ERIK",,,,,,,1911,1916,6,True,
"NORDENFALK, JOHAN",,,,,,,1911,1916,6,True,
"ODELBERG, THEODOR",,,,,,,1911,1916,6,True,
"VON SYDOW, HJALMAR",v. ordförande,v. ordförande,v. ordförande,v. ordförande,v. ordförande,v. Ordförande,1911,1916,6,True,v. Ordförande | v. ordförande
"DRYSÉN, G.",,,,,,,1911,1915,4,False,
"JOCHNICK, ADOLF AF",,,,,,,1913,1916,4,True,
"LAGERCRANTZ, H. L. F.",ordförande,,ordförande,ordförande,ordförande,,1911,1915,4,False,ordförande
"SNELLMAN, E.",,,,,,,1913,1916,4,True,
"SAEDÉN, CARL TH.",,,,,,,1911,1914,3,False,
LAGERCRANTZ,,ordförande,,,,Ordförande,1912,1916,2,False,Ordförande | ordförande
"BRYSEN, G.",,,,,,,1916,1916,1,True,
"BÄCKLUND, H.",,,,,,,1916,1916,1,True,
DRYSÉN,,,,,,,1912,1912,1,True,
JOCHNICK,,,,,,,1912,1912,1,True,
"NORMAN, UNO",,,,,,,1915,1915,1,True,
"QVIST, N. D.",,,,,,,1911,1911,1,True,
SAEDÉN,,,,,,,1912,1912,1,True,
"ÖSTMAN, FR.",,,,,,,1911,1911,1,True,
