Name,1914,1915,1916,1917,First Year,Last Year,Tenure,Consecutive,Positions
"Otterström, Gilbert",,,,,1914,1917,4,True,
"Bildt, A.",,,,,1914,1917,3,False,
"Enell, H.",,,,,1914,1916,2,False,
"Ljungdahl, C.",,,,,1914,1916,2,False,
"Östberg, Petter",,,,,1914,1915,2,True,
"BILDT, AXEL",,,,,1915,1915,1,True,
ENELL,,,,,1915,1915,1,True,
"HULDT, KRISTOFFER",,,,,1917,1917,1,True,
LJUNGDAHL,,,,,1915,1915,1,True,
"OSTBERG, PETTER",,,,,1916,1916,1,True,
