Name,1918,1919,First Year,Last Year,Tenure,Consecutive,Positions
CARLSON.,,,1918,1919,2,True,
"HAMBERG., HANS",,,1918,1919,2,True,
"FRÄNCKEL, CARL",,,1919,1919,1,True,
"JAGER., F.",,,1918,1918,1,True,
"LINDBLAD, AXEL",,,1919,1919,1,True,
"SELIGMAN, GUNNAR",,,1919,1919,1,True,
