Name,1917,1918,First Year,Last Year,Tenure,Consecutive,Positions
"ANDERSON., PER",,,1917,1918,2,True,
"KIHLGREN., CARL",,,1917,1918,2,True,
"Brunskog, V.A.",,,1918,1918,1,True,
"Kylberg, L.H.",,,1918,1918,1,True,
"LINDSTRÖM., ALB.",,,1917,1917,1,True,
"NACHMANSON., AUG.",,,1917,1917,1,True,
