Name,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1995,First Year,Last Year,Tenure,Consecutive,Positions
Ohlsson,,,Borgmästare,,,,,,,,,,,,,,,,,,,,,,,,,1964,1970,2,False,Borgmästare
"Ohlsson, L. G.",ordförande,ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,1962,1963,2,True,ordförande
"Olsson, Göran",,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,1977,2,True,
"Olsson, Ulf",,,,Ryttmästare,,,,,,,,,,,,,,,,,,,,,,,,1965,1966,2,True,Ryttmästare
"Wenehed, Ingvar",,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1987,2,False,
"Borelius, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1,True,
"Carlsson, Örjan",,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1,True,
"Davidsson, Kim",,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1,True,
"Einarsson, Einar",,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,1976,1,True,
"Grönberg, Jarl",,,,,,,,,,,,,,,,,,,,,,,,,,Styrelsesuppleant,,1987,1987,1,True,Styrelsesuppleant
"Gustavsson, Barry",,,,,,,,,,,,,,,,,,,,,,,,,,Adjungerad ledamöter,,1987,1987,1,True,Adjungerad ledamöter
"Hallström, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,1968,1,True,
"Herrlin, Gustaf",,,,,,,,,,,,,,,,,,,,,,,,,,,,1962,1962,1,True,
"Herrlin, K-M",,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,1976,1,True,
Leander,,,Direktör,,,,,,,,,,,,,,,,,,,,,,,,,1964,1964,1,True,Direktör
Nedström,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,1970,1,True,
"Nilsson, Kjell",,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1,True,
"Nordström, Lennart",,,,,,,,,,,,,,,,,,,,,,,,,,,STYRELSESUPPLEANTER,1995,1995,1,True,STYRELSESUPPLEANTER
"Normark, Didrik",,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1,True,
"Nyström, Stig-Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1,True,
"Ohlsson, Lars",,,,,,,,,,ordförande,,,,,,,,,,,,,,,,,,1971,1971,1,True,ordförande
"Ohlsson, Lars",,,,,,,,,,,,,Ordförande,,,,,,,,,,,,,,,1974,1974,1,True,Ordförande
"Olving, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1,True,
"Penser, Erik",,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1,True,
"Ringsand, Lilian",,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,1995,1,True,
"Söderberg, Yngve",,,,,,,,,,,,,,,,,,,,,,,,,,Styrelsesuppleant,,1987,1987,1,True,Styrelsesuppleant
