Name,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,First Year,Last Year,Tenure,Consecutive,Positions
"Janson, Christer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingenjör,,,,,,,,,,1974,1975,2,True,Ingenjör
"Käll, Lars",,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,Direktör,,,,,,,,,,,,,1971,1972,2,True,Direktör
"Sparr, Jan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Direktör,,direktör,,,,,,,1976,1978,2,False,Direktör | direktör
"TESCH, B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945,1949,2,False,
"Ek, Carl-Olof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1983,1,True,
"Eliasson, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,1984,1,True,
"HARJU, BuxosR",,,,,,,,,,,,,,,,,,,,,,vice ordförande,,,,,,,,,,,,,,,,,,,1966,1966,1,True,vice ordförande
"Hjelm, Holger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,1983,1,True,
"KALL, BERTH.",,,,,,,,,,,,,,,,,,,,,,Direktör,,,,,,,,,,,,,,,,,,,1966,1966,1,True,Direktör
"Lauri, Hans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979,1979,1,True,
"OLSON, GoFFa",,,,,,,,,,,,,,,,,,,,,,Ordförande,,,,,,,,,,,,,,,,,,,1966,1966,1,True,Ordförande
Säve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Civilingenjör,,,,,,,,,1976,1976,1,True,Civilingenjör
"TESCH, HJ.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945,1945,1,True,
"Widell, Christer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herr,,,,,,,,,1976,1976,1,True,Herr
