Name,1966,1967,1968,1969,1970,1971,First Year,Last Year,Tenure,Consecutive,Positions
"SÖDERLUND, HANS",,vice verkställande direktör,"direktör, vice verkställande direktör",direktör,direktör,,1966,1970,5,True,"vice verkställande direktör | direktör | direktör, vice verkställande direktör"
"Wehtje, Urban",,verkställande direktör,"civilingenjör, verkställande direktör",verkställande direktör,verkställande direktör,"direktör, Malmö",1967,1971,5,True,"direktör, Malmö | verkställande direktör | civilingenjör, verkställande direktör"
BERGQVIST,,direktör,direktör,styrelsens ordförande,,,1966,1969,4,True,styrelsens ordförande | direktör
"Laurin, Ulf",,direktör,direktör,direktör,direktör,,1967,1970,4,True,direktör
"Arp, Jochum",,,,direktör,,"direktör, Malmö",1969,1971,2,False,"direktör, Malmö | direktör"
"Dahlgren, Bo",,,direktör,direktör,,,1968,1969,2,True,direktör
"Deinoff, Rolf",,,,,styrelsens ordförande,"direktör, Jönköping styrelsens ordförande",1970,1971,2,True,"styrelsens ordförande | direktör, Jönköping styrelsens ordförande"
"Ovesson, Sverker",,,,,direkör,"direktör, Åstorp",1970,1971,2,True,"direkör | direktör, Åstorp"
"Senn, Willi",,,,direktör,,"Direktör, Ronneby verkställande direktör",1969,1971,2,False,"Direktör, Ronneby verkställande direktör | direktör"
"Schauman, Wilhelm",,,,direktör,,,1969,1969,1,True,direktör
"Sundberg, Ove",,,,,,"direktör, Jönköping",1971,1971,1,True,"direktör, Jönköping"
"SÖDERLUND, GUSTAF",,,,,,,1966,1966,1,True,
WEHTJE,Verkst. direktör,,,,,,1966,1966,1,True,Verkst. direktör
