Name,1918,1919,First Year,Last Year,Tenure,Consecutive,Positions
"KIHLGREN, CARL",,,1918,1919,2,True,
"KYLBERG, L. H.",,,1918,1919,2,True,
"LARSSON, LENNART",,,1918,1919,2,True,
"LINDSTRÖM, IVAR",,,1918,1919,2,True,
"LUNDQVIST, EMIL",,,1918,1919,2,True,
"PEYRON, ALFRED",,,1918,1919,2,True,
"FRYKBERG, K. EDV.",,,1918,1918,1,True,
"NACHMANSON, AUG.",,,1918,1918,1,True,
