Name,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,First Year,Last Year,Tenure,Consecutive,Positions
"Hellstenius, Gunnar",,,,,,,,,,,1962,1970,8,False,
"Holmgren, Björn",,,,,,,,,,,1962,1970,8,False,
"Westerberg, Bo",Verkst. dir.,Verkst. dir.,,Verkst. dir.,Verkst. dir.,Verkst. dir.,,verkst.,verkst. direktör,,1962,1970,7,False,Verkst. dir. | verkst. direktör | verkst.
"Jacobsson, C.",,,,,,,ordförande,,,,1962,1968,5,False,ordförande
"Ståhle, Nils",,,,,,,,ordförande,ordförande,,1962,1970,5,False,ordförande
Jacobson,,,,,,,,,,,1963,1969,4,False,
"Philipson, Göran",,,,,,,,,,,1967,1970,4,True,
"Schéle, Sune",,,,,,,,,,,1962,1966,4,False,
Söderman,,,,,,,,v. ordförande,,,1963,1969,4,False,v. ordförande
"Söderman, H.",,,,,,,v. ordförande,,v. ordförande,,1962,1970,4,False,v. ordförande
Ståhle,,,,,,,,,,,1963,1967,3,False,
"Jacobson, C.",,,,,,,,,,,1965,1968,2,False,
"Ameln, Christian",,,,,,,,,,,1971,1971,1,True,
"Fagerberg, Karl-Axel",,,,,,,,,,,1971,1971,1,True,
"Holgerson, Nils",,,,,,,,,,,1971,1971,1,True,
"Nordenfalk, Johan",,,,,,,,,,,1970,1970,1,True,
"Risholm, Anders",,,,,,,,,,Verkst. direktör,1971,1971,1,True,Verkst. direktör
"Ryde, Kurt",,,,,,,,,,,1971,1971,1,True,
"Söderbäck, Fritiof",,,,,,,,,,,1962,1962,1,True,
"Westerberg, Jan",,,,,,,,,,,1970,1970,1,True,
