Name,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,First Year,Last Year,Tenure,Consecutive,Positions
"Agrup, Sven",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,verkställande direktör,verkställande direktör,Verkställande direktör,Verkställande direktör,Verkställande direktör,,,Verkställande direktör,verkställande direktör i AGA AB,Verkställande direktör i AGA AB,,Ordförande,ordf.,ordförande,ordförande,ordförande,ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,,1969,1998,29,False,ordförande | verkställande direktör | Verkställande direktör | direktör | Verkställande direktör i AGA AB | verkställande direktör i AGA AB | Ordförande | ordf.
"HEDIN, JOHN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disponent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1950,28,False,disponent
"DALÉN, GUSTAF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911,1936,24,False,
"Dalén, Gunnar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,verkställande direktör,Verkst. dir.,verkställande direktör,,,,verkställande direktör,verkställande direktör,direktör,direktör,direktör,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943,1969,22,False,Verkst. dir. | verkställande direktör | direktör
"Karlsson, Kent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arbetstagarrepresentant,,Arbetstagarrepresentant,chaufför,Chaufför,Chaufför,"Tjänsteman, arbetstagarrepresentant",arbetstagarrepresentant,"Chaufför, arbetstagarrepresentant",,Chaufför,,,,,,,,,,,,,,,1974,1995,22,True,"Chaufför, arbetstagarrepresentant | Arbetstagarrepresentant | arbetstagarrepresentant | Chaufför | Tjänsteman, arbetstagarrepresentant | chaufför"
"LINDMAN, ARVID",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,1935,22,False,
"Hedin, Tore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disponent,disponent,disponent,disponent,disponent,disponent,disponent,disponent,,,,,,,disponent,disponent,VICE ORDFÖRANDE,vice ordförande,"disponent, vice ordförande",vice ordförande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1951,1970,20,True,"disponent | vice ordförande | disponent, vice ordförande | VICE ORDFÖRANDE"
"Carlson, Sune",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,professor,professor,professor,professor,professor,professor,professor,professor,,,Professor i företagsekonomi,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,,,,,,,,,,,,,,,,,,,,,1961,1979,19,True,Vice ordförande | professor | Professor i företagsekonomi
"Höglund, Rune",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vice ordförande,vice ordförande,vice ordförande,ORDFÖRANDE,ordförande,"bankdirektör, ordförande",ordförande,ordförande,ordförande,,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,Ordförande,,,,,,,,,,,,,,,,,,,,,1961,1979,19,True,"Ordförande | vice ordförande | bankdirektör, ordförande | ordförande | ORDFÖRANDE"
"STYREN, ULF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direktör,direktör,direktör,direktör,direktör,direktör,direktör,direktör,,,Verkställande direktör i AB Bahco,,,direktör,Direktör,Direktör,Direktör,,,,,,,,,,,,,,,,,,,1964,1982,19,True,Direktör | Verkställande direktör i AB Bahco | direktör
"Hedelius, Tom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verkställande direktör i Svenska Handelsbanken,,VD i Handelsbanken,,VD i Handelsbanken.,,,,,,,,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,Vice ordförande,,1981,1998,18,True,Vice ordförande | VD i Handelsbanken | Verkställande direktör i Svenska Handelsbanken | VD i Handelsbanken.
