company_name
AGA
ASEA
Alfa Laval - Separator
"Amerika-Mexikolinjen, Svenska"
Astra
Atlantica
Atlas Copco
Bahco
Bahco InvestmentAB - Promotion
Beckers
Bervik & Ala
Billerud
Bofors - Nobel Industrier
Boliden (Old)
Boxholm
Cardo - Svenska SockerAB
Custos
Diamantbergborrning
Drott
Electrolux
Emissionsinstitutet
Ericsson
Esselte
Fagersta
Ford
Forshaga
Gunnebo Bruk
Haldex - Garphytte Bruk
Hennes
Holmen - Modo
Holmens Bruk
Hufvudstaden
Iggesund
Inteckningsbanken - Stockholms Inteckningsgaranti
Investor
J&W
Kilsund
Kinnevik
Klippan (Old)
Kopparfors
Liljeholmens Stearinfabrik
Marabou
Marieberg -Dagens Nyheter
Metallverken
Mexikanska Ericsson
Nife-Jungner - Svenska Ackumulator AB Jungner
Nitro Nobel - Nitroglycerinbolaget
Nordarmatur - Nordiska Armaturfabriken
Nordiska Kompaniet
"Oljeslageri, Svenska"
Pripps
Providentia
Ratos
SEBanken
Sandvik
Skandia
Skandinaviska Banken - Skandinaviska Kredit
Skaraborgsbanken
Stockholms Enskilda Bank
Stockholms Superfosfat Fabriks
Stockholmsbryggerier
Stora Kopparberg
Sundsvallsbanken
Svea RederiAB
Svensk Filmindustri
"Svenska Amerikalinjen, RederiAB Sverige-Nordamerika"
"Svenska Handelsbanken, Stockholms Handelsbank"
"Svenska Lloyd, RederiAB"
Trelleborg
Uddeholm
Uplandsbanken
Visby Cement
Volvo
