company_name
AGA
ASEA
Addo
AlfortCronholm
Arvikaverken
Astra
Atlantica
Bahco
Baltic
Beckers
Beijerinvest
Billerud
Billman
Boxholm
Coronaverken
Custos
Diamantbergborrning
Diligentia
Drott
Electrolux
Emissionsinstitutet
Ericsson
Esselte
Exportinvest
Fagersta
Fannyudde
Ford
Forshaga
Heimdall
Hennes
Hufvudstaden
Iggesund
Incentive
Investor
Invik
JW
Kilsund
Kinnevik
Kopparfors
Kreditbanken
Lux
Marabou
Metallverken
Neptun
Nessim
Nordbanken
Norrlandsbanken
Optimus
PLM
Papyrus
Pripps
Providentia
Pumpseparator
Ratos
SEBanken
Sandvik
Skandia
Skaraborgsbanken
Sonesson
Stockholmsbryggerier
Sulitelma
Sundsvallsbanken
Tarkett
Tjenstemannabanken
Trelleborg
Uddeholm
Uplandsbanken
Volta
Volvo
